日付,開始価格,最高価格,最低価格,終値,ボリューム,時価総額
2017年7月27日,"2,538.71","2,693.32","2,529.34","2,671.78","789,104,000","41,816,489,984"
2017年7月26日,"2,577.77","2,610.76","2,450.80","2,529.45","937,404,032","42,455,015,424"
2017年7月25日,"2,757.50","2,768.08","2,480.96","2,576.48","1,460,089,984","45,410,078,720"
2017年7月24日,"2,732.70","2,777.26","2,699.19","2,754.86","866,473,984","44,995,604,480"
2017年7月23日,"2,808.10","2,832.18","2,653.94","2,730.40","1,072,840,000","46,231,142,400"
2017年7月22日,"2,668.63","2,862.42","2,657.71","2,810.12","1,177,129,984","43,929,632,768"
2017年7月21日,"2,838.41","2,838.41","2,621.85","2,667.76","1,489,449,984","46,718,996,480"
2017年7月20日,"2,269.89","2,900.70","2,269.89","2,817.60","2,249,260,032","37,356,806,144"
2017年7月19日,"2,323.08","2,397.17","2,260.23","2,273.43","1,245,100,032","38,227,845,120"
2017年7月18日,"2,233.52","2,387.61","2,164.77","2,318.88","1,512,450,048","36,749,443,072"
2017年7月17日,"1,932.62","2,230.49","1,932.62","2,228.41","1,201,760,000","31,795,019,776"
2017年7月16日,"1,991.98","2,058.77","1,843.03","1,929.82","1,182,870,016","32,767,571,968"
2017年7月15日,"2,230.12","2,231.14","1,990.41","1,998.86","993,608,000","36,681,289,728"
2017年7月14日,"2,360.59","2,363.25","2,183.22","2,233.34","882,502,976","38,823,104,512"
2017年7月13日,"2,402.70","2,425.22","2,340.83","2,357.90","835,769,984","39,511,040,000"
2017年7月12日,"2,332.77","2,423.71","2,275.14","2,398.84","1,117,410,048","38,355,918,848"
2017年7月11日,"2,385.89","2,413.47","2,296.81","2,337.79","1,329,760,000","39,224,180,736"
2017年7月10日,"2,525.25","2,537.16","2,321.13","2,372.56","1,111,200,000","41,509,044,224"
2017年7月9日,"2,572.61","2,635.49","2,517.59","2,518.44","527,856,000","42,283,167,744"
2017年7月8日,"2,520.27","2,571.34","2,492.31","2,571.34","733,329,984","41,417,732,096"
2017年7月7日,"2,608.59","2,916.14","2,498.87","2,518.66","917,411,968","42,864,218,112"
2017年7月6日,"2,608.10","2,616.72","2,581.69","2,608.56","761,956,992","42,851,422,208"
2017年7月5日,"2,602.87","2,622.65","2,538.55","2,601.99","941,566,016","42,760,830,976"
2017年7月4日,"2,561.00","2,631.59","2,559.35","2,601.64","985,516,032","42,067,939,328"
2017年7月3日,"2,498.56","2,595.00","2,480.47","2,564.06","964,112,000","41,037,160,448"
2017年7月2日,"2,436.40","2,514.28","2,394.84","2,506.47","803,747,008","40,010,469,376"
2017年7月1日,"2,492.60","2,515.27","2,419.23","2,434.55","779,913,984","40,928,153,600"
2017年6月30日,"2,539.24","2,559.25","2,478.43","2,480.84","860,273,024","41,689,124,864"
2017年6月29日,"2,567.56","2,588.83","2,510.48","2,539.32","949,979,008","42,150,330,368"
2017年6月28日,"2,553.03","2,603.98","2,484.42","2,574.79","1,183,869,952","41,906,651,136"
2017年6月27日,"2,478.45","2,552.45","2,332.99","2,552.45","1,489,789,952","40,677,937,152"
2017年6月26日,"2,590.57","2,615.25","2,376.29","2,478.45","1,663,280,000","42,513,989,632"
2017年6月25日,"2,607.25","2,682.26","2,552.12","2,589.41","1,161,100,032","42,783,760,384"
2017年6月24日,"2,738.52","2,757.94","2,583.19","2,608.72","982,750,016","44,932,898,816"
2017年6月23日,"2,707.34","2,765.17","2,706.37","2,744.91","961,318,976","44,415,922,176"
2017年6月22日,"2,691.03","2,723.74","2,642.36","2,705.41","1,097,939,968","44,143,661,056"
2017年6月21日,"2,709.43","2,772.01","2,660.40","2,689.10","1,626,579,968","44,440,801,280"
2017年6月20日,"2,591.26","2,763.45","2,589.82","2,721.79","1,854,189,952","42,497,998,848"
2017年6月19日,"2,549.03","2,662.85","2,549.03","2,589.60","1,446,840,064","41,800,601,600"
2017年6月18日,"2,655.35","2,662.10","2,516.33","2,548.29","1,178,659,968","43,539,300,352"
2017年6月17日,"2,514.01","2,685.19","2,484.96","2,655.88","1,534,509,952","41,217,200,128"
2017年6月16日,"2,469.57","2,539.92","2,385.15","2,518.56","1,195,190,016","40,484,098,048"
2017年6月15日,"2,499.58","2,534.71","2,212.96","2,464.58","2,026,259,968","40,971,300,864"
2017年6月14日,"2,716.88","2,786.83","2,412.94","2,506.37","1,696,560,000","44,528,300,032"
2017年6月13日,"2,680.91","2,789.04","2,650.38","2,717.02","1,781,200,000","43,934,101,504"
2017年6月12日,"2,953.22","2,997.26","2,518.56","2,659.63","2,569,530,112","48,391,200,768"
2017年6月11日,"2,942.41","2,996.60","2,840.53","2,958.11","1,752,400,000","48,208,699,392"
2017年6月10日,"2,828.14","2,950.99","2,746.55","2,947.71","2,018,889,984","46,331,400,192"
2017年6月9日,"2,807.44","2,901.71","2,795.62","2,823.81","1,348,950,016","45,987,098,624"
2017年6月8日,"2,720.49","2,815.30","2,670.95","2,805.62","1,281,170,048","44,557,099,008"
2017年6月7日,"2,869.38","2,869.38","2,700.56","2,732.16","1,517,709,952","46,989,799,424"
2017年6月6日,"2,690.84","2,999.91","2,690.84","2,863.20","2,089,609,984","44,060,999,680"
2017年6月5日,"2,512.40","2,686.81","2,510.22","2,686.81","1,369,309,952","41,133,899,776"
2017年6月4日,"2,547.79","2,585.89","2,452.54","2,511.81","1,355,120,000","41,708,199,936"
2017年6月3日,"2,493.72","2,581.91","2,423.57","2,515.35","1,514,950,016","40,817,098,752"
2017年6月2日,"2,404.03","2,488.55","2,373.32","2,488.55","1,317,030,016","39,344,599,040"
2017年6月1日,"2,288.33","2,448.39","2,288.33","2,407.88","1,653,180,032","37,446,201,344"
2017年5月31日,"2,187.19","2,311.08","2,145.57","2,286.41","1,544,829,952","35,786,698,752"
2017年5月30日,"2,255.36","2,301.96","2,124.57","2,175.47","1,443,970,048","36,897,001,472"
2017年5月29日,"2,159.43","2,307.05","2,107.17","2,255.61","994,625,024","35,323,498,496"
2017年5月28日,"2,054.08","2,267.34","2,054.08","2,155.80","1,147,139,968","33,595,899,904"
2017年5月27日,"2,196.27","2,260.20","1,855.83","2,038.87","1,700,480,000","35,917,099,008"
2017年5月26日,"2,320.89","2,573.79","2,071.99","2,202.42","1,763,480,064","37,950,599,168"
2017年5月25日,"2,446.24","2,763.71","2,285.30","2,304.98","2,406,700,032","39,995,400,192"
2017年5月24日,"2,321.37","2,523.72","2,321.37","2,443.64","1,725,379,968","37,949,198,336"
2017年5月23日,"2,191.56","2,320.82","2,178.50","2,320.42","1,378,749,952","35,822,600,192"
